longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
-1.329639230329863,1.0366437672632174,1.0243417007556073,-0.7975837456974352,-0.974311310207856,-0.9825578515442911,-0.9789464589003293,2.9603803421945205,0,0,0,1,0,452600.0
-1.3246541248941273,1.0273399125520692,-0.6042318142071064,2.0534778266622737,1.3497706376183043,0.8565569621112396,1.6615938491430973,2.9452233434306274,0,0,0,1,0,358500.0
-1.3346243357655918,1.022687985196497,1.9200571339851,-0.52847727472539,-0.8292048631071439,-0.828634822407176,-0.8458757516767968,2.2803533136195666,0,0,0,1,0,352100.0
-1.3396094412013277,1.022687985196497,1.9200571339851,-0.6169569150960965,-0.7221591234426841,-0.7737886855882039,-0.7362881104338879,1.2522884772939002,0,0,0,1,0,341300.0
-1.3396094412013277,1.022687985196497,1.9200571339851,-0.4551262775268768,-0.6151133837782243,-0.76759637981832,-0.6319189282977841,0.10793507062005438,0,0,0,1,0,342200.0
-1.3396094412013277,1.022687985196497,1.9200571339851,-0.7797044401302976,-0.7744925961675311,-0.9020578765357998,-0.8041280788223554,0.2293184304687023,0,0,0,1,0,269700.0
-1.3396094412013277,1.0180360578409244,1.9200571339851,-0.03885936842531454,-0.11794539289217774,-0.2996349866370907,0.033434607819877823,-0.011219318822138662,0,0,0,1,0,299200.0
-1.3396094412013277,1.0180360578409244,1.9200571339851,0.22199511536189792,0.3530558616314453,-0.24390423470813521,0.38046213842242305,-0.3545444462849192,0,0,0,1,0,241400.0
-1.3445945466370635,1.0180360578409244,1.105770376503743,-0.02969049377550039,0.3007223889065983,-0.20055809431894764,0.24478220164548806,-1.016612341870723,0,0,0,1,0,226700.0
-1.3396094412013277,1.0180360578409244,1.9200571339851,0.42600257632026267,0.40063174592676076,0.10463411862533235,0.555280518500397,0.009223524048488654,0,0,0,1,0,261100.0
-1.3445945466370635,1.022687985196497,1.9200571339851,-0.19152113134472007,-0.24877907470429525,-0.46240416687404,-0.2587991021612129,-0.3016223203488089,0,0,0,1,0,281500.0
-1.3445945466370635,1.022687985196497,1.9200571339851,0.4049141646256902,0.5076774855912206,0.0630572084561116,0.6074651095684488,-0.2586987188073668,0,0,0,1,0,241800.0
-1.3445945466370635,1.022687985196497,1.9200571339851,-0.059030892654905666,-0.15362730611366435,-0.29609652619715704,-0.08658995163664157,-0.3832026372250511,0,0,0,1,0,213500.0
-1.3445945466370635,1.0180360578409244,1.9200571339851,-0.8819373924757253,-0.8268260688923781,-0.9622117040146725,-0.8537034403370046,-0.638833700411028,0,0,0,1,0,191300.0
-1.3445945466370635,1.022687985196497,1.9200571339851,0.010652554683681852,0.20794941453073315,-0.1952504036590471,0.31001294048055295,-1.1208644720240473,0,0,0,1,0,159200.0
-1.3445945466370635,1.022687985196497,1.7571997824888286,-0.6875572498996654,-0.6079770011339269,-0.6508271853005085,-0.6188727805307711,-0.9882088904056143,0,0,0,1,0,140000.0
